ID,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層,第8階層,第9階層,第10階層,作業名,よみ,|表記|,英名,多義的概念,組合せで作業,目的(ja),目的(en),行為(ja),行為(en),対象(ja),対象(en),副対象(ja),副対象(en),場所(ja),場所(en),手段(ja),手段(en),機資材(ja),機資材(en),生産対象(ja),生産対象(en),時期(ja),時期(en),作業条件(ja),作業条件(en),agrovoc,naropedia,wikipedia
A1,農作業,,,,,,,,,,農作業,のうさぎょう,,Agriculture activity,,,農作業,agriculture activity,,,,,,,,,,,,,,,,,,,,,
A2,農作業,基本農作業,,,,,,,,,基本農作業,きほんのうさぎょう,,Basic work,,,基本農作業,basic work,,,,,,,,,,,,,,,,,,,,,
A3,農作業,基本農作業,作物生産作業,,,,,,,,作物生産作業,さくもつせいさんさぎょう,,Works for crop production,,,作物生産,crop production,,,,,,,,,,,,,,,,,,,,,
A4,農作業,基本農作業,作物生産作業,作物生育制御作業,,,,,,,作物生育制御作業,さくもつせいいくせいぎょさぎょう,|生育制御;せいいくせいぎょ|,Practice for crop growth control,,,作物生育制御,crop growth control,,,,,,,,,,,,,,,,,,,,,
A5,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,,,,,,繁殖制御作業,はんしょくせいぎょさぎょう,,Regulation of crop propagation,,,繁殖制御,control of propagation,,,,,,,,,,,,,,,,,,,,,
A6,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,繁殖準備作業,,,,,繁殖準備作業,はんしょくじゅんびさぎょう,,Work in preparation of crop propagation,,,繁殖準備,preparation for propagation,,,,,,,,,,,,,,,,,,,,,
A7,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,繁殖準備作業,採種,,,,採種,さいしゅ,|種取り;たねとり|種取;たねとり|,Seed production,,,繁殖準備,preparation for propagation,生産する,produce,種子,seed,,,,,,,,,,,,,,,c_6937,http://lib.ruralnet.or.jp/nrpd/#box_search=%E6%8E%A1%E7%A8%AE&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=11918&db=&uid=0,
A8,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,繁殖準備作業,苗取り,,,,苗取り,なえとり,|苗取;なえとり|,Pulling seedlings,,,繁殖準備,preparation for propagation,抜く,pull,幼植物,seedling,,,,,,,,,,,,,,,,,
A9,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,繁殖準備作業,接ぎ穂採取,,,,接ぎ穂採取,つぎほさいしゅ,|継ぎ穂採取;つぎほさいしゅ|継穂採取;つぎほさいしゅ|接穂採取;つぎほさいしゅ|,Scion collection,,苗木生産,繁殖準備,preparation for propagation,集める,collect,接ぎ穂,scion,,,,,,,,,,,,,,,,,
A10,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,繁殖準備作業,親株選抜,,,,親株選抜,おやかぶせんばつ,,Mother plant selection,,,繁殖準備,preparation for propagation,選ぶ,select,親株,mother plant,,,,,,,,,,,,,,,,,
A11,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,,,,,種子繁殖作業,しゅしはんしょくさぎょう,,Treatment for seed propagation,,,種子繁殖,seed propagation,,,,,,,,,,,,,,,,,,,,,
A12,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,は種,,,,は種,はしゅ,|種まき;たねまき|播種作業;はしゅさぎょう|播種;はしゅ|,Seeding,,育苗,種子繁殖,seed propagation,播く,sow,種子,seed,,,,,,,,,,,,,,,c_7268,,播種
A13,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,は種,苗箱は種,,,苗箱は種,なえばこはしゅ,|育苗箱播種;いくびょうばこはしゅ|,Seeding in nursery box,,育苗,種子繁殖,seed propagation,播く,sow,種子,seed,育苗箱,nursery box,,,,,,,イネ,rice|rice plant,,,,,,,
A14,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,は種,直播,,,直播,ちょくはん,|直播;じかまき|直播;ちょくは|直播;じきまき|,Direct seeding in paddy field,,,種子繁殖,seed propagation,播く,sow,種子,seed,,,圃場,field,,,,,イネ,rice|rice plant,,,,,,,
A15,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,は種,直播,湛水直播,,湛水直播,たんすいちょくはん,|湛水直播;たんすいじかまき|湛水直播;たんすいちょくは|湛水直播;たんすいじきまき|,Direct seeding in flooded paddy field,,,種子繁殖,seed propagation,播く,sow,種子,seed,,,水田,paddy field,,,,,イネ,rice|rice plant,,,,,,http://lib.ruralnet.or.jp/nrpd/#box_search=%E6%B9%9B%E6%B0%B4%E7%9B%B4%E6%92%AD&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=13276&db=&uid=0,湛水直播栽培
A16,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,は種,直播,湛水直播,鉄コーティング直播,鉄コーティング直播,てつこーてぃんぐちょくはん,|鉄コーティング直播;てつこーてぃんぐじかまき|鉄コーティング直播;てつこーてぃんぐちょくは|鉄コーティング直播;てつこーてぃんぐじきまき|,Direct seeding of iron coated seed,,,種子繁殖,seed propagation,播く,sow,鉄コーティング種子,iron coated seed,,,水田,paddy field,,,,,イネ,rice|rice plant,,,,,,,
A17,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,は種,直播,乾田直播,,乾田直播,かんでんちょくはん,|乾田直播;かんでんじかまき|乾田直播;かんでんちょくは|乾田直播;かんでんじきまき|,Direct seeding in well-drained paddy field,,,種子繁殖,seed propagation,播く,sow,種子,seed,,,乾田,well-drained paddy field,,,,,イネ,rice|rice plant,,,,,,http://lib.ruralnet.or.jp/nrpd/#box_search=%E4%B9%BE%E7%94%B0%E7%9B%B4%E6%92%AD&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=11110&db=&uid=0,
A18,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,は種,直播,乾田直播,不耕起は種,不耕起は種,ふこうきはしゅ,,Non-tillage sowing,,,種子繁殖,seed propagation,播く,sow,種子,seed,,,不耕起圃場,non-tilled field,,,,,イネ,rice|rice plant,,,,,,,
A19,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,は種,緑肥用種子は種,,,緑肥用種子は種,りょくひようしゅしはしゅ,,Seeding for green manure,,,種子繁殖,seed propagation,播く,sow,緑肥用種子,seeds for green manure,,,,,,,,,,,,,,,,,
A20,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,は種,苗床は種,,,苗床は種,なえどこはしゅ,,Seeding in nursery bed,,,種子繁殖,seed propagation,播く,sow,種子,seed,苗床,nursery bed,,,,,,,,,,,,,,,
A21,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,は種,セルトレイは種,,,セルトレイは種,せるとれいはしゅ,,Seeding in cell trays,,,種子繁殖,seed propagation,播く,sow,種子,seed,セルトレイ,cell trays,,,,,,,,,,,,,,,
A22,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,種子繁殖作業,種子覆土,,,,種子覆土,しゅしふくど,,Covering the seed with soil,,,種子繁殖,seed propagation,覆う,cover,土,soil,種子,seed,,,,,,,,,,,,,,,
A23,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,,,,,栄養繁殖作業,えいようはんしょくさぎょう,,Treatment for vegetative propagation,,,栄養繁殖,vegetative propagation,,,,,,,,,,,,,,,,,,,c_8177,http://lib.ruralnet.or.jp/nrpd/#box_search=%E6%A0%84%E9%A4%8A%E7%B9%81%E6%AE%96&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=10489&db=&uid=0,栄養繁殖
A24,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,挿し木,,,,挿し木,さしき,|挿し芽;さしめ|挿木;さしき|挿し芽;さしめ|,Cutting,,苗木生産,栄養繁殖,vegetative propagation,植える,plant,茎|葉|根,,床土,bed soil,,,,,,,,,,,,,c_2048,http://lib.ruralnet.or.jp/nrpd/#box_search=%E6%8C%BF%E3%81%97%E6%9C%A8&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=11996&db=&uid=0,挿し木
A25,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,接ぎ木,,,,接ぎ木,つぎき,|接木;つぎき|,Grafting,,苗木生産,栄養繁殖,vegetative propagation,接ぐ,graft,接ぎ穂,scion,台木,rootstock,,,,,,,,,,,,,c_3344,http://lib.ruralnet.or.jp/nrpd/#box_search=%E6%8E%A5%E3%81%8E%E6%9C%A8&kensuu=10&sort=0&logic=1&page=0&bunya=&koumoku=13496&db=&uid=0,接ぎ木
A26,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,接ぎ木,呼び接ぎ,,,呼び接ぎ,よびつぎ,|寄接ぎ;よせつぎ|呼接ぎ;よびつぎ|寄せ接ぎ;よせつぎ|,Approach grafting,,,栄養繁殖,vegetative propagation,接ぐ,graft,接ぎ穂,scion,台木,rootstock,,,接合,connection,クリップ,clip,キュウリ|メロン,,,,,,,,
A27,農作業,基本農作業,作物生産作業,作物生育制御作業,繁殖制御作業,栄養繁殖作業,接ぎ木,合わせ接ぎ,,,合わせ接ぎ,あわせつぎ,|合せ接ぎ;あわせつぎ|,Tube grafting,,,栄養繁殖,vegetative propagation,接ぐ,graft,接ぎ穂,scion,台木,rootstock,,,接合,connection,チューブ,tube,スイカ|キュウリ|メロン|トマト|ナス|ピーマン,,,,下胚軸上,,,,
